Id	Title	State	Submitter	Primary authors	Accepted track	Submitted for tracks	Reviewed for tracks
94	Parton distribution functions from Lattice QCD	Accepted	Savvas Zafeiropoulos	Kostas Orginos; Joseph Karpie; Alexander Rothkopf; Anatoly Radyushkin; Savvas Zafeiropoulos		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
186	Multiple solutions for the equilibrium populations in BCS superconductors	Accepted	Dragos-Victor Anghel	Dragos-Victor Anghel		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
62	Study of confinement/deconfinement transition in cold dense matter in QCD-like theories	Accepted	Victor Braguta	Victor Braguta; Andrey Kotov; Aleksandr Nikolaev; Nikita Astrakhantsev		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
18	Topological Insulating States in Semiconductor Based Artificial Graphene	Accepted	Oleg Sushkov	Oleg Sushkov		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
59	Lattice study of Chiral Magnetic Effect in QCD and Dirac semimetals.	Accepted	Nikita Astrakhantsev	Andrey Kotov; Victor Braguta; Aleksandr Nikolaev; Nikita Astrakhantsev; Francesco Negro; Massimo D'Elia; Francesco Sanfilippo		B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Workshop on Lattice and Condensed Matter Physics	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Workshop on Lattice and Condensed Matter Physics
271	The layered phase of anisotropic gauge theories as a model for topological indulators	Accepted	Stam Nicolis	Stam Nicolis		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
45	Wigner - Weyl formalism and the propagator of Wilson fermions in the presence of varying external electromagnetic field	Accepted	Michael Suleymanov	Michael Suleymanov; Mikhail Zubkov		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
74	Lattice Wigner-Weyl formalism in graphene	Accepted	Ignat Fialkovskiy	Ignat Fialkovskiy; Mikhail Zubkov		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
214	Confinement-deconfinement transition in QC_2D at T=0 and  large quark density	Accepted	Vitaly Bornyakov	Nikita Astrakhantsev; Vitaly Bornyakov; Victor Braguta; Ernst-Michael Ilgenfritz; Andrey Kotov; Aleksandr Nikolaev		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
331	Effects of turbulent mixing and static noise in Hwa-Kardar model of self-organised criticality	Accepted	Larisa Bravina	Nikolay Gulitskiy		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC; Workshop on Heavy Ion Physics	Workshop on Lattice and Condensed Matter Physics; Workshop on Heavy Ion Physics
132	UPGRADE OF THE ALICE INNER TRACKING SYSTEM: CONSTRUCTION AND COMMISSIONING	Accepted	Alessandra Fantoni	Alessandra  Fantoni		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
204	The ALICE Upgrade: Future Prospects	Accepted	Kristjan Gulbrandsen	Kristjan Gulbrandsen		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
197	Evaluation of target non-uniformity and dispersion effects on energy measurement resolution in NUMEN experiment	Accepted	Federico Pinna	Federico Pinna		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
278	Entanglement entropy in high energy qcd	Accepted	Michael Lublinsky	Michael Lublinsky		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
199	Multiplicity and energy dependence of light charged particle production in ALICE at the LHC	Accepted	Marco Toppi	Marco Toppi		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
142	Methods of Hyperspherical Functions with Application of Neutron Rich Isotopes in Heavy Ion Reactions	Accepted	Hasanuzzaman Rahman	Klara LaGrance		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics; Workshop on Physics of Exotic Nuclei	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics; Workshop on Physics of Exotic Nuclei
107	Azimuthal anisotropy Fourier harmonic correlations and initial-state fluctuations from HYDJET++ and AMPT modela	Accepted	Milan Stojanovic	Milan Stojanovic		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
165	Single- and Multi-harmonic Flow Fluctuations in Heavy-Ion Collisions	Accepted	Seyed Farid Taghavi	Ante Bilandzi; Cindy Mordasin; Seyed Farid Taghavi		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics; Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics; Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions
7	Strangeness production with ALICE at the LHC	Accepted	Maria Vasileiou	Maria Vasileiou		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
206	J-PARC Heavy Ion Experiment	Accepted	Takashi Hachiya	Takashi Hachiya		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
276	SUSY with CMS	Accepted	Myriam Schoenenberger	CMS collaboration; Myriam Schoenenberger		A High Energy Particle Physics	A High Energy Particle Physics
224	Searches for electroweak production of supersymmetric particles with the ATLAS detector	Accepted	Ximo Poveda Torres	Ximo Poveda Torres		A High Energy Particle Physics	A High Energy Particle Physics
322	Murray Gell Mann	Accepted	Ekaterina Kriukova	Jean Iliopoulos		Memorial Session for Murray Gell Mann	Memorial Session for Murray Gell Mann
219	On th dynamical detail of boundary conditions in GUTS	Accepted	Peter Minkowski	Peter Minkowski		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
361	Murray Gell Mann	Submitted	Victoria Volkova	John Iliopoulos		Memorial Session for Murray Gell Mann	Memorial Session for Murray Gell Mann
306	Highest Energy Cross Sections	Accepted	Ekaterina Kriukova	leo stodolsky		A High Energy Particle Physics	A High Energy Particle Physics
149	European Strategy Update: ATLAS physics prospects at the HL-LHC	Accepted	Francesca Pastore	Francesca Pastore		A High Energy Particle Physics	A High Energy Particle Physics
330	Hall conductivity as the topological invariant in  phase space	Accepted	Ekaterina Kriukova	Ignat Fialkovskiy; Michael Suleymanov; Mikhail Zubkov; Xi Wu; C Zhang		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
207	ALICE Overview	Accepted	Massimo Masera	Massimo Masera		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
32	Recent results from LHCb	Accepted	Katharina Mueller	Stefania Vecchi; Stefania Vecchi		A High Energy Particle Physics	A High Energy Particle Physics
226	Highlight on ATLAS physics results	Accepted	Yanwen Liu	Yanwen Liu		A High Energy Particle Physics	A High Energy Particle Physics
355	The European strategy update process	Accepted	Victoria Volkova	Jorgen D'Hondt		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
354	Large infrastructure facilities and how to finance them	Accepted	Victoria Volkova	John Womersley		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
353	FCC physics highlights	Accepted	Victoria Volkova	m Koratzinos		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
325	Classical and quantum dynamics of higher derivative systems	Accepted	Ekaterina Kriukova	Andrei Smilga		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
63	Space-time structure may be topological and not geometrical	Accepted	Gabriele Carcassi	Gabriele Carcassi; Christine Aidala		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
53	Derivation of Chiral (C) and Parity (P)  Violation of Weak Gauge Interaction From String Theory	Accepted	Rulin Xiu	Rulin Xiu		Workshop on Astro-Cosmo-Gravity; Workshop on New physics paradigms after Higgs and gravitational wave discoveries; Workshop on Future of Fundamental Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Quantum Foundations and Quantum Information	Workshop on Astro-Cosmo-Gravity; Workshop on New physics paradigms after Higgs and gravitational wave discoveries; Workshop on Future of Fundamental Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Quantum Foundations and Quantum Information
284	Non-Abelian Proca-Dirac-Higgs theory: particle-like solutions and their energy spectrum	Accepted	Vladimir Dzhunushaliev	Vladimir Dzhunushaliev		A High Energy Particle Physics	A High Energy Particle Physics
48	Effect of Rope Hadronization in Stangeness Enhancement and Two particle correlations in p-p collisions at LHC energies.	Accepted	Sadhana Dash	Sadhana Dash		A High Energy Particle Physics	A High Energy Particle Physics
221	Outreach activities of the ALICE experiment	Accepted	Despina Hatzifotiadou	Despina Hatzifotiadou		Physics Education and Outreach	Physics Education and Outreach
231	ColliderScope: Electronic(s) Music from Collider Physics	Accepted	Lawrence Lee Jr	Lawrence Lee Jr		Physics Education and Outreach	Physics Education and Outreach
248	HiSPARC: big data for high school students	Accepted	Kasper van Dam	Kasper van Dam		Physics Education and Outreach	Physics Education and Outreach
193	Outreach activities with the μCosmics air shower detector	Accepted	Antonios Leisos	Antonios Leisos; Apostolos Tsirigotis		Physics Education and Outreach	Physics Education and Outreach
140	Precision Timing with the CMS MIP Timing Detector	Accepted	Nicola Minafra	Nicola Minafra		A High Energy Particle Physics	A High Energy Particle Physics
143	Optimising the performance of the CMS Electromagnetic Calorimeter to measure Higgs properties during Phase I and Phase II of the LHC	Accepted	Amina Zghiche	Amina Zghiche		A High Energy Particle Physics	A High Energy Particle Physics
170	ATLAS results on ttH	Accepted	Bernd Stelzer	Bernd Stelzer; Bernd Stelzer		A High Energy Particle Physics; Workshop on Higgs Physics	A High Energy Particle Physics; Workshop on Higgs Physics
310	Measurements of the top quark mass using the ATLAS detector at the LHC	Accepted	Ekaterina Kriukova	Jiri Hejbal		A High Energy Particle Physics	A High Energy Particle Physics
228	Search for Long-lived Particles with the ATLAS detector	Accepted	Lawrence Lee Jr	Lawrence Lee Jr		A High Energy Particle Physics	A High Energy Particle Physics
304	ATLAS results on BSM searches in the Higgs sector	Accepted	Ekaterina Kriukova	Jike Wang		A High Energy Particle Physics	A High Energy Particle Physics
218	Tagged Short-Range Correlations for Medium to Heavy Ions	Accepted	Florian Hauenstein	Florian Hauenstein		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
294	Lambda and antilambda hyperon polarization in heavy-ion collisions within transport model	Accepted	Oleksandr Vitiuk	Oleksandr Vitiuk; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
70	Probing the initial stage with direct photons	Accepted	Michal Krelina	Michal Krelina		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
69	Overview of the PHENIX Spin Program	Accepted	Chong Kim	Chong Kim		A High Energy Particle Physics	A High Energy Particle Physics
25	Measurement of $\rm D$-meson production and flow in Pb-Pb collisions with ALICE at the LHC	Accepted	Fabio Catalano	Fabio Catalano		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
172	Jet quenching in expanding medium	Accepted	Souvik Priyam Adhya	Souvik Priyam Adhya; Martin Spousta; Konrad Tywoniuk; Carlos Albert Salgado Lopez		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
145	A high precision narrow-band neutrino beam: the ENUBET project	Accepted	Fabio Pupilli	Marta Torti		A High Energy Particle Physics	A High Energy Particle Physics
42	Sterile neutrino searches with the Icarus detector	Accepted	Maurizio Bonesini	Maurizio Bonesini; on behalf of the ICARUS collaboration		Other Topics; A High Energy Particle Physics; Workshop on Future of Fundamental Physics	Other Topics; A High Energy Particle Physics; Workshop on Future of Fundamental Physics
11	Neutrino physics and dark matter search with SHiP at CERN	Accepted	Walter Marcello Bonivento	Antonia Di Crescenzo		A High Energy Particle Physics	A High Energy Particle Physics
277	Neutrinos, present and future	Accepted	Jan Emil Kisiel	Jan Emil Kisiel		A High Energy Particle Physics; Workshop on Future of Fundamental Physics	A High Energy Particle Physics; Workshop on Future of Fundamental Physics
352	The FCC study: status and accelerator design	Accepted	Victoria Volkova	Katsunobu Oide		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
351	The CEPC project – status	Accepted	Victoria Volkova	Meng Wang		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
350	The CLIC project	Accepted	Victoria Volkova	Andrea Latina		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
141	The International Particle Physics Outreach Group	Accepted	Despina Hatzifotiadou	Despina Hatzifotiadou		Physics Education and Outreach; A High Energy Particle Physics	Physics Education and Outreach; A High Energy Particle Physics
229	Techniques for the statistical combination of Higgs boson property measurements	Accepted	Paolo Francavilla	Paolo Francavilla		A High Energy Particle Physics; Workshop on Higgs Physics	A High Energy Particle Physics; Workshop on Higgs Physics
216	ATLAS results on Higgs boson couplings	Accepted	Reisaburo Tanaka	Reisaburo Tanaka; on behalf of the ATLAS collaboration		A High Energy Particle Physics; Workshop on Higgs Physics	A High Energy Particle Physics; Workshop on Higgs Physics
183	CMS results on BEH boson properties	Accepted	Rainer Mankel	Rainer Mankel; for the CMS collaboration		A High Energy Particle Physics	A High Energy Particle Physics
182	ATLAS results on Higgs boson properties	Accepted	Lydia Iconomidou-Fayard	ATLAS Collaboration		A High Energy Particle Physics	A High Energy Particle Physics
349	Deep-Inelastic electron-nucleon scattering	Accepted	Victoria Volkova	Cynthia Keppel		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
155	Probing perturbative QCD using electroweak bosons at the ATLAS detector	Accepted	Vasiliki Kouskoura	Vasiliki Kouskoura		A High Energy Particle Physics; Workshop on QCD	A High Energy Particle Physics; Workshop on QCD
205	Topological Objects in Holographic QCD	Accepted	Hideo Suganuma	Hideo Suganuma; Keiichiro Hori		A High Energy Particle Physics; Workshop on QCD	A High Energy Particle Physics; Workshop on QCD
144	Aspects of Top-Down Holographic Large-N Thermal QCD at Finite Coupling	Accepted	Aalok Misra	Aalok Misra		Workshop on QCD	Workshop on QCD
153	Spectroscopy of Heavy-Flavor Baryons	Accepted	Willibald Plessas	Bita Mehr Motamedi; Joseph P. Day; Zoltan Papp; Willibald Plessas		Workshop on QCD	Workshop on QCD
21	Optics and magnetic fields for fundamental physics	Accepted	Guido Zavattini	Guido Zavattini		C Quantum Physics, Quantum Optics and Quantum Information; Workshop on Future of Fundamental Physics; A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	C Quantum Physics, Quantum Optics and Quantum Information; Workshop on Future of Fundamental Physics; A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
345	The ILC project – status	Accepted	Victoria Volkova	Akira Yamamoto		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
344	The SupereKEKb/BELLE II as a demonstrator of future colliders	Accepted	Victoria Volkova	Philip Bambade		Workshop on Future of Fundamental Physics	Workshop on Future of Fundamental Physics
105	EMC effect, few-nucleon systems and Poincare' covariance	Accepted	Emanuele Pace	Leonid Kaptari; Emanuele Pace; Matteo Rinaldi; Giovanni Salme'; Sergio Scopetta		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
343	The electromagnetic form factors of the nucleons	Accepted	Victoria Volkova	Ronald Gilman		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
243	Physics with Parity Violating Electron Scattering	Accepted	Krishna Kumar	Krishna Kumar		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
235	The Quark Structure of Atomic Nuclei	Accepted	Anthony Thomas	Anthony Thomas		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
342	The 12 GeV Program of Jefferson Lab	Accepted	Victoria Volkova	Allison Lung		Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
135	Highlights from CMS	Accepted	Mia Tosi	Mia Tosi		A High Energy Particle Physics	A High Energy Particle Physics
196	Heavy-flavour jets in ALICE	Accepted	Artem Isakov	Artem Isakov		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
134	Review on "Detector and Trigger performance in ALICE during Run2"	Accepted	Martino Gagliardi	Martino Gagliardi; ALICE Collaboration		B Heavy Ion Collisions and Critical Phenomena; Mini Workshop on Instruments and Methods in HEP; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Mini Workshop on Instruments and Methods in HEP; Workshop on Heavy Ion Physics
303	Precision electroweak measurements with the ATLAS detector	Accepted	Ekaterina Kriukova	Maarten Boonekamp		A High Energy Particle Physics	A High Energy Particle Physics
72	First look at CKM parameters from early Belle II data	Accepted	Ida Marena Peruzzi	Pablo Goldenzweig		A High Energy Particle Physics	A High Energy Particle Physics
198	Searches for squarks and gluinos with the ATLAS detector	Accepted	Kazuki Todome	Kazuki Todome		A High Energy Particle Physics	A High Energy Particle Physics
13	Targeted cancer therapy with the alpha emitter actinium-225	Accepted	Alban Kellerbauer	Alban Kellerbauer; Frank Bruchertseifer; Rikard Malmbeck; Alfred Morgenstern		Other Topics	Other Topics
61	Neutrino CP Violation with the European Spallation Source neutrino Super Beam project	Accepted	Georgios Fanourakis	Georgios Fanourakis		A High Energy Particle Physics	A High Energy Particle Physics
287	Lifshitz Regime and the phase diagram of QCD	Accepted	Semeon Valgushev	Robert Pisarski; Fabian Rennecke; Vladimir Skokov; Alexei Tsvelik; Semeon Valgushev		Workshop on QCD	Workshop on QCD
84	Three regimes of QCD	Accepted	Leonid Glozman	Leonid Glozman		Workshop on QCD	Workshop on QCD
81	On the generalised spectral structure of QCD propagators	Accepted	Peter Lowdon	Peter Lowdon		Workshop on QCD	Workshop on QCD
175	Schwinger based QCD formulation's derivation of elastic pp scattering	Accepted	peter tsang	Herbert Fried; peter tsang; Thierry Grandou; Yves Gabellini; Yeuan-Ming Sheu		Workshop on QCD	Workshop on QCD
289	`Effective locality and chiral symmetry breaking in QCD’.	Accepted	Thierry Grandou	Thierry Grandou; Peter H. Tsang		Workshop on QCD	Workshop on QCD
131	In-medium spectral functions of vector and axial-vector mesons from analytically continued FRG flow equations	Accepted	Lorenz von Smekal	Lorenz von Smekal		Workshop on QCD	Workshop on QCD
244	QCD in the heavy dense regime for large Nc: on the existence of quarkyonic matter	Accepted	Owe Philipsen	Owe Philipsen		Workshop on QCD	Workshop on QCD
319	On the Phase Structure & Dynamics of QCD	Accepted	Jan M. Pawlowski	Jan M. Pawlowski		Workshop on QCD	Workshop on QCD
329	Statistical methods for data treatment  with and without signal (ATLAS+CMS)	Accepted	Ekaterina Kriukova	Pietro Vischia		A High Energy Particle Physics	A High Energy Particle Physics
213	Diffuse neutrinos: a look into the past	Accepted	Olga Caballero	Caballero Liliana		Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity	Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity
212	From alpha clustering to homogeneous matter	Accepted	Alexandros Gezerlis	Alexandros Gezerlis		Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity	Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity
22	Final results of the CUPID-0 Phase I experiment	Accepted	Fabio Bellini	Chiara Brofferio		A High Energy Particle Physics; Workshop on Astro-Cosmo-Gravity	A High Energy Particle Physics; Workshop on Astro-Cosmo-Gravity
98	Main results of the DAMPE space detector in its 4th year in orbit	Accepted	Piergiorgio Fusco	Piergiorgio Fusco		Workshop on Astro-Cosmo-Gravity	Workshop on Astro-Cosmo-Gravity
262	Branching of Center Vortices in SU(3) Lattice Gauge Theory	Accepted	Hugo Reinhardt	Hugo Reinhardt	Workshop on QCD	Workshop on QCD	Workshop on QCD
237	Symmetry, Confinement, and the Higgs Phase	Accepted	Jeff Greensite	Jeff Greensite	Workshop on QCD	Workshop on QCD	Workshop on QCD
133	Quark-diquark models and fluctuations in thermal QCD	Accepted	Eugenio Megias	Eugenio Megias; Enrique Ruiz Arriola; Lorenzo Luis Salcedo	Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD; Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD; Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions
256	The impact of fluctuations on the QCD phase structure	Accepted	Bernd-Jochen Schaefer	Bernd-Jochen Schaefer	Workshop on QCD	Workshop on QCD	Workshop on QCD
266	QCD phase diagram and baryon number fluctuations from DSEs	Accepted	UNKNOWN UNKNOWN	Christian Fischer	Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD
241	NUCLEAR FEMTOGRAPHY AS A BRIDGE FROM THE NUCLEON TO NEUTRON STARS	Accepted	liuti simonetta	Simonetta Liuti	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Workshop on QCD	Workshop on QCD
152	Flavor Decompositions of Nucleon, Δ, and Hyperon Electromagnetic Form Factors	Accepted	Willibald Plessas	Willibald Plessas	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
55	Fractal dimension of Yang-Mills Fields	Submitted	Eugenio Megias	Eugenio Megias; Airton Deppman; Debora Menezes; Tobias Frederico		A High Energy Particle Physics	A High Energy Particle Physics
340	Physics Opportunities with an Electron Ion Collider in the USA	Accepted	Victoria Volkova	Abhay Deshpande	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
249	Spin structure of the nucleon	Accepted	UNKNOWN UNKNOWN	Jian-ping Chen	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
242	The Nucleus as a QCD Laboratory	Accepted	Kawtar Hafidi	Kawtar Hafidi	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
83	Machine Learning approach to event classification in DEAP-3600	Submitted	Aidar Ilyasov	Aidar Ilyasov			
100	Recent results on flow in small systems	Accepted	Mate Csanad	Mate Csanad	Lectures	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Lectures	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Lectures
14	Diffraction in QCD	Accepted	Boris Kopeliovich	Boris Kopeliovich	Lectures	Lectures	Lectures
316	Gravitational Model of the Three Elements Theory : Formalizing	Submitted	Frederic Lassiaille	Frederic LASSIAILLE		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
333	A unified approach towards the realistic equation of state of multicomponent dense mixtures of hard spheres and hard discs	Submitted	Nazar Yakovenko	Nazar Yakovenko; Kyrill Bugaev; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
315	The concept of induced surface and curvature tensions and a unied description of the gas of hard discs and hard spheres	Submitted	Nazar Yakovenko	Nazar Yakovenko; Kyrill Bugaev; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
285	Stueckelberg superfield in supergravity	Submitted	Silvia Nagy	Silvia Nagy		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
33	Superasymptotic and hyperasymptotic approximation to the operator product expansion	Submitted	Xabier Lobregat	Cesar Ayala; Xabier Lobregat; Antonio Pineda			
203	Searches for new phenomena in dilepton final states using the ATLAS detector	Submitted	Deshan Kavishka Abhayasinghe	Deshan Kavishka Abhayasinghe		A High Energy Particle Physics	A High Energy Particle Physics
66	Time of Flight system of the BM@N/NICA experiment. Performance and particle identification results.	Submitted	Mikhail Rumyantsev	Mikhail Rumyantsev		B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
320	UrQMD distributions and fluctuations in baryon subsystems at fixed total net baryon number: simulations vs analytics	Submitted	Oleksandr Vitiuk	Yurii Kvasiuk; Yuriy Sinyukov; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
173	Top-quark pair production cross-section measurements with the ATLAS detector	Submitted	Adam Bozson	Adam Bozson		A High Energy Particle Physics	A High Energy Particle Physics
177	Observation and measurements of vector-boson scattering at the ATLAS detector	Submitted	Ondrej Penc	Ondrej Penc; ATLAS Collaboration		A High Energy Particle Physics	A High Energy Particle Physics
318	Recent results of the hadronic cross section measurement with the CMD3 detector	Submitted	Gennady Fedotovich	Gennady Fedotovich		A High Energy Particle Physics	A High Energy Particle Physics
317	Recent BaBar results in light hadron spectroscopy	Submitted	Evgeny Solodov	Evgeny Solodov		A High Energy Particle Physics	A High Energy Particle Physics
230	Searches for high-mass diboson resonances with the ATLAS detector	Submitted	Yuta Okazaki	Yuta Okazaki			
187	Measurements of single diffraction using forward proton tagging at the ATLAS detector	Submitted	Sabina Anna Czekierda	Sabina Anna Czekierda		A High Energy Particle Physics	A High Energy Particle Physics
222	Phase diagram and strange matter in SU(3) PNJL model	Accepted	Alexandra Friesen	Alexandra Friesen; Yuri Kalinovsky; Viacheslav Toneev		B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD
46	From varying constants to the entangled cyclic multiverses	Submitted	Mariusz Dabrowski	Mariusz P.  Dąbrowski		Workshop on Quantum Foundations and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity	Workshop on Quantum Foundations and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity
157	The TUS space experiment	Submitted	Maria Lavrova	Maria Lavrova; Andrey Grinuyk; Artur Tkachenko; Leonid Tkachev		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
259	Advanced Multivariate Analysis methods for use by the experiments at the Large Hadron Collider	Submitted	Anna Stakia	Anna Stakia		A High Energy Particle Physics	A High Energy Particle Physics
148	Dark Matter searches with the ATLAS detector	Submitted	Edoardo Maria Farina	Edoardo Maria Farina		A High Energy Particle Physics	A High Energy Particle Physics
77	Latest results from the DEAP-3600 dark matter search experiment	Submitted	Damian Goeldi	Damian Goeldi		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
96	Study of sensitivity to dark matter scattering for liquid argon detectors in EFT framework	Submitted	Nikita Levashko	Nikita Levashko		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
